,Monogamous,Polygynous,Polyandrous,Promiscuous,Solitary,Small_units,Communal,Parental_investment,Caste_system,Gene_length
Alligator_mississippiensis,0,1,0,0,0,0.5,1,1,1,1744
Oryctolagus_cuniculus,0,0,0,1,0,1,1,1,1,3873
Pan_troglodytes,0,0.3,0,1,0,1,1,1,1,3827
Taeniopygia_guttata,1,0,0,0,0,0,1,1,1,2951
Mustela_putorius_furo,0,1,0,0,0,1,0,1,1,3596
Felis_catus,0,0,0,1,1,0.3,0,1,0,3811
Rhincodon_typus,0,0,0,1,1,0,0.1,0,0,4680
Falco_peregrinus,1,0,0,0,1,0,0,1,1,2280
Mus_musculus,0,1,0,0,1,0.4,0,1,1,3750
Phascolarctos_cinereus,0,1,0,0,1,0.5,0,1,1,2601
Pteropus_vampyrus,0,1,0,0,0,0,1,1,1,3875
Gallus_gallus,0,1,0,0,0,1,0,1,1,2803
Homo_sapiens,1,0.3,0.1,1,0,1,1,1,1,3824
Ailuropoda_melanoleuca,0,0,1,0,1,0,0,1,0,3742
Danio_rerio,0,0,0,1,0,0,1,0,1,2241
Heterocephalus_glaber,0,0,1,0,0,0,1,1,1,3821
Monodelphis_domestica,0,0,0,1,1,0,0,1,0,3814
Serinus_canaria,1,0,0,0,0,1,0.5,1,1,2803